寶雅	,2017/6/4 12:11	,【買一送一】韓國 Lilian 爽身粉香衛生棉(29cm/14片)【寶雅】/ 草本 韓國 Lilian,149,https://tw.mall.yahoo.com/item/p005296130633,50,銷售件數：5,買一送一,韓國,Lilian,爽身粉,香,衛生棉,29cm,14,片,寶雅,草本,韓國,Lilian
寶雅	,2017/6/4 12:11	,霓淨思紅石榴清透瑩白面膜10入【寶雅】霓淨思 N3 面膜,170,https://tw.mall.yahoo.com/item/p0052123248209,50,銷售件數：4,霓淨思,紅,石榴,清透,瑩白,面膜,10,入,寶雅,霓淨思,N3,面膜
寶雅	,2017/6/4 12:11	,霓淨思杏仁酸淨膚亮白面膜10片【寶雅】霓淨思 N3 面膜,170,https://tw.mall.yahoo.com/item/p0052110225575,50,銷售件數：3,霓淨思,杏仁酸,淨膚,亮白,面膜,10,片,寶雅,霓淨思,N3,面膜
寶雅	,2017/6/4 12:11	,霓淨思N7自拍免修修亮白面膜4入【寶雅】面膜 霓淨思 N7,150,https://tw.mall.yahoo.com/item/p0052110225618,50,銷售件數：4,霓淨思,N7,自拍,免,修修,亮白,面膜,4,入,寶雅,面膜,霓淨思,N7
寶雅	,2017/6/4 12:11	,【買一送一】愛康抗菌衛生棉24cm日用型(8片/包)【寶雅】愛康 抗菌 衛生棉 日用,99,https://tw.mall.yahoo.com/item/p0052132237419,50,銷售件數：9,買一送一,愛康,抗菌,衛生棉,24cm,日用,型,8,片,包,寶雅,愛康,抗菌,衛生棉,日用
寶雅	,2017/6/4 12:11	,霓淨思N7跑趴超貼妝保濕面膜4入【寶雅】霓淨思 N7 面膜,150,https://tw.mall.yahoo.com/item/p0052110225622,50,銷售件數：5,霓淨思,N7,跑,趴超,貼,妝,保濕,面膜,4,入,寶雅,霓淨思,N7,面膜
寶雅	,2017/6/4 12:11	,凱婷零瑕肌密粉底液30ml(六色任選)【寶雅】凱婷 KATE 零瑕肌密 粉底液,425,https://tw.mall.yahoo.com/item/p0052132092569,50,銷售件數：4,凱婷,零,瑕,肌密,粉底液,30ml,六色,任選,寶雅,凱婷,KATE,零,瑕,肌密,粉底液
寶雅	,2017/6/4 12:11	,【買1送1】Dr.FreeVenus藝群Q10胺基酸洗面乳150ml【寶雅】胺基酸 洗面乳 Q10 藝群,341,https://tw.mall.yahoo.com/item/p0052104276876,50,銷售件數：3,買,1,送,1,Dr,FreeVenus,藝群,Q10,胺基酸,洗面乳,150ml,寶雅,胺基酸,洗面乳,Q10,藝群
寶雅	,2017/6/4 12:11	,凱婷零瑕肌密CC飾底霜【寶雅】凱婷 KATE 零瑕肌密 飾底霜,281,https://tw.mall.yahoo.com/item/p0052132094253,50,銷售件數：2,凱婷,零,瑕,肌密,CC飾底霜,寶雅,凱婷,KATE,零,瑕,肌密,飾底,霜
寶雅	,2017/6/4 12:11	,heme Baby Q 透明粉撲【寶雅】,189,https://tw.mall.yahoo.com/item/p0052131879794,50,銷售件數：4,hemeBabyQ,透明,粉撲,寶雅
